Filter,MJD,Mag,Sigma,Code
i,1753.63,17.3364367052,0.009,CSP9844
i,1755.71,17.3974288638,0.01,CSP9844
i,1756.65,17.4316608013,0.011,CSP9844
i,1759.69,17.66038146,0.009,CSP9844
i,1760.68,17.7516307672,0.008,CSP9844
i,1765.74,18.068511407,0.012,CSP9844
i,1766.75,18.0835863074,0.011,CSP9844
i,1768.64,18.0825196544,0.011,CSP9844
i,1770.63,18.0104337893,0.011,CSP9844
i,1772.71,17.9395552247,0.011,CSP9844
i,1776.68,17.7970473041,0.009,CSP9844
i,1777.66,17.7758430809,0.01,CSP9844
i,1779.66,17.7511316424,0.012,CSP9844
i,1781.65,17.7816032578,0.014,CSP9844
i,1783.7,17.8507872955,0.014,CSP9844
i,1785.65,17.949688995,0.014,CSP9844
i,1786.66,18.0111107697,0.011,CSP9844
i,1790.66,18.3048447902,0.013,CSP9844
i,1797.67,18.6436767587,0.016,CSP9844
i,1803.69,18.8914689622,0.017,CSP9844
i,1807.62,19.0619156269,0.023,CSP9844
i,1810.62,19.1596198586,0.026,CSP9844
i,1814.61,19.2872283267,0.029,CSP9844
i,1818.61,19.4275906252,0.029,CSP9844
i,1824.64,19.7121901109,0.042,CSP9844
i,1827.57,19.7758909395,0.033,CSP9844
r,1753.63,16.5799709579,0.006,CSP9844
r,1755.71,16.6044609063,0.008,CSP9844
r,1756.65,16.6377284935,0.008,CSP9844
r,1759.69,16.7946326807,0.007,CSP9844
r,1760.68,16.8775518294,0.005,CSP9844
r,1765.74,17.209472043,0.006,CSP9844
r,1766.75,17.2407354199,0.006,CSP9844
r,1768.64,17.2768400922,0.009,CSP9844
r,1770.63,17.2994769467,0.007,CSP9844
r,1772.71,17.2992467361,0.006,CSP9844
r,1776.68,17.3198398272,0.007,CSP9844
r,1777.66,17.3459279287,0.007,CSP9844
r,1779.66,17.3948994232,0.009,CSP9844
r,1781.65,17.4863250625,0.009,CSP9844
r,1783.7,17.5924548485,0.011,CSP9844
r,1785.65,17.7160353351,0.011,CSP9844
r,1786.66,17.8069339458,0.008,CSP9844
r,1790.66,18.0418341474,0.008,CSP9844
r,1797.67,18.3453485939,0.009,CSP9844
r,1803.69,18.663926521,0.013,CSP9844
r,1807.62,18.6776185939,0.012,CSP9844
r,1810.62,18.779216611,0.016,CSP9844
r,1814.61,18.8718451395,0.015,CSP9844
r,1818.61,19.0334637419,0.012,CSP9844
r,1824.64,19.2128729691,0.015,CSP9844
r,1827.57,19.280530713,0.013,CSP9844
B,1753.63,16.6978259148,0.009,CSP9844
B,1755.71,16.7948447748,0.008,CSP9844
B,1756.65,16.8529626339,0.008,CSP9844
B,1759.69,17.0921220297,0.009,CSP9844
B,1760.68,17.1654947763,0.006,CSP9844
B,1765.74,17.6683488424,0.008,CSP9844
B,1766.75,17.7362169722,0.008,CSP9844
B,1768.64,17.9176251508,0.009,CSP9844
B,1770.63,18.1024628341,0.011,CSP9844
B,1772.71,18.2727257298,0.011,CSP9844
B,1776.68,18.5907518766,0.014,CSP9844
B,1777.66,18.6578524249,0.017,CSP9844
B,1779.66,18.8723671109,0.021,CSP9844
B,1781.65,18.9310459598,0.036,CSP9844
B,1783.7,19.0747395038,0.043,CSP9844
B,1785.65,19.2276788951,0.164,CSP9844
B,1786.66,19.2043565402,0.034,CSP9844
B,1790.66,19.3866151433,0.016,CSP9844
B,1797.67,19.5545946632,0.018,CSP9844
B,1803.69,19.6117160131,0.017,CSP9844
B,1807.62,19.657409562,0.03,CSP9844
B,1810.62,19.6991715392,0.045,CSP9844
B,1814.61,19.7314638419,0.047,CSP9844
B,1818.61,19.788563638,0.021,CSP9844
B,1824.64,19.845597163,0.024,CSP9844
B,1827.57,19.9021669433,0.02,CSP9844
V,1753.63,16.5337663714,0.007,CSP9844
V,1755.71,16.5535544651,0.009,CSP9844
V,1756.65,16.5666413377,0.008,CSP9844
V,1759.69,16.6936637417,0.007,CSP9844
V,1760.68,16.755288899,0.006,CSP9844
V,1765.74,17.0676087326,0.007,CSP9844
V,1766.75,17.12318851,0.007,CSP9844
V,1768.64,17.2193881329,0.008,CSP9844
V,1770.63,17.3084174727,0.007,CSP9844
V,1772.71,17.396797303,0.009,CSP9844
V,1776.68,17.5585631763,0.008,CSP9844
V,1777.66,17.6045308083,0.008,CSP9844
V,1779.66,17.7168669031,0.012,CSP9844
V,1781.65,17.8166575228,0.013,CSP9844
V,1783.7,17.9255140732,0.016,CSP9844
V,1785.65,18.0293806201,0.059,CSP9844
V,1786.66,18.1583029234,0.013,CSP9844
V,1790.66,18.3724528383,0.011,CSP9844
V,1797.67,18.584219528,0.013,CSP9844
V,1803.69,18.7274673115,0.015,CSP9844
V,1807.62,18.8802574736,0.022,CSP9844
V,1810.62,18.8678283041,0.026,CSP9844
V,1814.61,19.0142432741,0.029,CSP9844
V,1818.61,19.1089465899,0.018,CSP9844
V,1824.64,19.2536693984,0.02,CSP9844
V,1827.57,19.3354892901,0.02,CSP9844
