Filter,MJD,Mag,Sigma
i,53357.3485,18.0568707471,0.016
i,53361.32773,18.0931632886,0.015
i,53362.35264,18.078819565,0.033
i,53363.3463,18.1419364682,0.016
i,53365.33018,18.2227098056,0.022
i,53369.34434,18.3422753837,0.019
i,53372.33591,18.5909685044,0.022
i,53373.33679,18.6443742649,0.024
i,53376.34037,18.8587628478,0.017
i,53377.3413,18.8615560234,0.021
i,53380.33936,18.8758981166,0.02
i,53381.32876,18.9003391922,0.018
i,53384.31266,18.840880567,0.022
i,53385.34303,18.7987435328,0.022
i,53386.3,18.7962661883,0.018
i,53387.28529,18.7418466197,0.017
i,53390.33487,18.6388009196,0.019
i,53393.31457,18.5886512105,0.018
i,53394.3034,18.6346729063,0.02
i,53399.31991,18.7673743815,0.033
i,53401.3125,18.9193763044,0.028
i,53403.30038,19.0375140163,0.021
i,53404.32008,19.2279328298,0.039
i,53406.31678,19.2867389664,0.035
i,53408.30175,19.2704539065,0.021
i,53409.3542,19.4328070374,0.037
i,53410.31676,19.3470936006,0.022
r,53357.3485,17.615800748,0.009
r,53361.32773,17.4695373217,0.009
r,53362.35264,17.4507777112,0.011
r,53363.3463,17.4384697198,0.011
r,53365.33018,17.4497934283,0.01
r,53369.34434,17.5635817774,0.011
r,53372.33591,17.7467002954,0.011
r,53373.33679,17.8155892762,0.011
r,53376.34037,18.0044471445,0.011
r,53377.3413,18.0721666262,0.012
r,53380.33936,18.1578283069,0.01
r,53381.32876,18.1906721315,0.012
r,53384.31266,18.2289822161,0.011
r,53385.34303,18.219843116,0.012
r,53386.3,18.2599597064,0.011
r,53387.28529,18.244074094,0.01
r,53390.33487,18.2710199484,0.014
r,53393.31457,18.3634219736,0.012
r,53394.3034,18.3775633185,0.015
r,53395.30855,18.4168581661,0.017
r,53399.31991,18.6368157293,0.018
r,53401.3125,18.7504473587,0.018
r,53402.34741,18.7952322418,0.016
r,53403.30038,18.8868599514,0.012
r,53404.32008,18.9672866439,0.022
r,53406.31678,19.028733579,0.02
r,53408.30175,19.0909306658,0.017
r,53409.3542,19.1249112378,0.024
r,53410.31676,19.187279848,0.013
B,53361.32773,17.5951076258,0.024
B,53363.3463,17.6162625623,0.022
B,53365.33018,17.6507723918,0.024
B,53369.34434,17.7568367581,0.032
B,53372.33591,17.9708920021,0.025
B,53373.33679,18.0318767361,0.025
B,53376.34037,18.2744066062,0.04
B,53380.33936,18.649618752,0.051
B,53381.32876,18.742721217,0.031
B,53384.31266,18.9957086277,0.027
B,53385.34303,19.0357199124,0.031
B,53386.3,19.2181459042,0.027
B,53387.28529,19.2567983336,0.028
B,53388.31181,19.3830641279,0.031
B,53391.30773,19.6085946266,0.033
B,53393.31457,19.6503243516,0.045
B,53394.3034,19.8027250319,0.049
B,53399.31991,20.0687692889,0.079
B,53401.3125,20.0882396185,0.086
B,53402.34741,20.2487795177,0.043
B,53403.30038,20.3549501925,0.051
B,53404.32008,20.2484270008,0.04
B,53406.31678,20.4397086617,0.038
B,53408.30175,20.4139777759,0.038
B,53410.31676,20.5832029373,0.038
V,53357.3485,17.4842888493,0.02
V,53361.32773,17.3956787571,0.015
V,53363.3463,17.3861513537,0.01
V,53365.33018,17.4018680447,0.013
V,53369.34434,17.4779090475,0.014
V,53373.33679,17.6520061422,0.011
V,53376.34037,17.8294206925,0.01
V,53380.33936,18.0051477589,0.012
V,53381.32876,18.0648506303,0.017
V,53384.31266,18.2038464126,0.01
V,53385.34303,18.2374421899,0.012
V,53386.3,18.2911176979,0.012
V,53387.28529,18.3476988196,0.013
V,53388.31181,18.3574757444,0.013
V,53390.33487,18.4312868694,0.016
V,53391.30773,18.5082242742,0.015
V,53393.31457,18.580994294,0.018
V,53394.3034,18.5863179524,0.02
V,53399.31991,18.8624630892,0.025
V,53401.3125,19.0006629672,0.035
V,53402.34741,19.0339419574,0.018
V,53403.30038,19.1355520787,0.018
V,53404.32008,19.188652928,0.018
V,53406.31678,19.2487203931,0.016
V,53408.30175,19.2879367455,0.016
V,53410.31676,19.2778152823,0.02
